address,symbol,decimals
0x96db852d93c2fea0f447d6ec22e146e4e09caee6,JPYC,18
0x8f69ee043d52161fd29137aedf63f5e70cd504d5,DOG,18
0x11b6b63515ab0d04a4b28a316486820cf5012ddf,f6-USDC,18
0x7c17611ed67d562d1f00ce82eebd39cb7b595472,THIRM,18
0xe0bb0d3de8c10976511e5030ca403dbf4c25165b,0xBTC,8
0xb04095d45a98dbda07564d124b3cdb7f0d88c696,Demo,18
0x588abc030b08819c4c284189ce269a8fb4efe439,quotMKRquot,18
0xe3c332a5dce0e1d9bc2cc72a68437790570c28a4,VEE,18
0xb27e3eab7526bf721ea8029bfcd3fdc94c4f8b5b,ODOGE,18
0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,ETH,18
0x9bcef72be871e61ed4fbbc7630889bee758eb81d,rETH,18
0xc40f949f8a4e094d1b49a23ea9241d289b7b2819,LUSD,18
0xe88d846b69020680b2deeea58511636250c42707,OVM-TEST,18
0xf98dcd95217e15e05d8638da4c91125e59590b07,KROM,18
0xc7b04dc5a2644522a0c58c107346b5e3a63600b0,SACRO,18
0x7c6b91d9be155a6db01f749217d76ff02a7227f2,SACRO,18
0x5a5fff6f753d7c11a56a52fe47a177a87e431655,SYN,18
0x809dc529f07651bd43a172e8db6f4a7a0d771036,nETH,18
0x65559aa14915a70190438ef90104769e5e890a00,ENS,18
0x00f932f0fe257456b32deda4758922e56a4f4b42,PAPER,18
0x0a03498ec169247f81761d9b67bf5b206ff0c0fc,vBTC,18
0x121ab82b49b2bc4c7901ca46b8277962b4350204,WETH,18
0x1259adc9f2a0410d0db5e226563920a2d49f4454,WETH,18
0x23b5b8cc1ad8ca333c817bc2e3d842e4cb90cc48,nETH-LP,18
0x28d8a1a6bdeaf9d42da6a55da8a34710e3434b97,vETH,18
0x4619a06ddd3b8f0f951354ec5e75c09cd1cd1aef,nETH-LP,18
0x48a5322c3021d5ed5ce4293112141045d12c7efc,pWBTC,8
0x64b18e6d7b4693f86aa12c1724f1e195232bf044,vBTC,18
0x68d97b7a961a5239b9f911da8deb57f6ef6e5e28,TLP,18
0x811cd5cb4cc43f44600cfa5ee3f37a402c82aec2,pUSDC,8
0xbe4a5438ad89311d8c67882175d0ffcc65dc9c03,BORING,18
0xc12b9d620bfcb48be3e0ccbf0ea80c717333b46f,pDAI,8
0xdb21bb0389b616bb2ebde855975df4f2ce9fb74f,vUSD,18
0xe402d5eef58aad816d7240e50f20922f53a81711,vUSD,18
0x5029c236320b8f15ef0a657054b84d90bfbeded3,bitANT,18
0xc98b98d17435aa00830c87ea02474c5007e1f272,bitBTC,18
0x14cd3bd06d6ea144840db5d85607492a5ae6fb38,Poly-Peg NB,6
0x8158b34ff8a36dd9e4519d62c52913c24ad5554b,pUSDT,8
0x8a48fd91596b905e0309ba524ad5901498b325cf,LP-USDT,8
0xa27a0a67c0ff095d19c5333be0c604d622466279,LP-USDC,18
0x8e1e582879cb8bac6283368e8ede458b63f499a5,pETH,8
0x8f00a5e13b3f2aaaddc9708ad5c77fbcc300b0ee,pLINK,8
0x9413b54f04c90ed8eb59a08323d767b72dcd278e,WETH,18
0xab3f8a9599d62f09a71d7337dfff4458a4c7fe27,vETH,18
0xc84da6c8ec7a57cd10b939e79eaf9d2d17834e04,vUSD,18
0x8c835dfaa34e2ae61775e80ee29e2c724c6ae2bb,vETH,18
0x86f1e0420c26a858fc203A3645dD1A36868F18e5,vBTC,18
0x81b875688b8d134d22c52068c0cca5dcdb6cd66d,pKratos,18
0xa7a084538de04d808f20c785762934dd5da7b3b4,iETH,18
0xb344795f0e7cf65a55cb0dde1e866d46041a2cc2,iUSDC,6
0x5bede655e2386abc49e2cc8303da6036bf78564c,iDAI,18
0x30adf434dc6d586526efc3e7ea3b4550b2be7456,FNDR,18
0x50c5725949a6f0c72e6c4a641f24049a917db0cb,LYRA,18
0x89b7FdA54019E62b4fAF44777a0d0E85bD9C4ad3,Kratos,9
0xB48b36eA8DFd6113bDf7339E7EF344d0b3f9878f,BUZZ,18
0x1da650C3B2DaA8AA9Ff6F661d4156Ce24d08A062,DCN,0
0xA807D4Bc69b050b8D0c99542cf93903C2EFe8b4c,OptiNYAN,18
0xE7798f023fC62146e8Aa1b36Da45fb70855a77Ea,UMA,18
0xbfd291da8a403daaf7e5e9dc1ec0aceacd4848b9,USX,18
0x780f70882fF4929D1A658a4E8EC8D4316b24748A,vAELIN,18
0x6F620EC89B8479e97A6985792d0c64F237566746,WPC,18
0x6B7413C45980D506993116590b8D25e76d1aB731,ODOG,18
0x3e7ef8f50246f725885102e8238cbba33f276747,BOND,18
0x9e1028f5f1d5ede59748ffcee5532509976840e0,PERP,18
0x61baadcf22d2565b0f471b291c475db5555e0b76,AELIN,18
0x2250b4eD46b7d0A71C91dA173b52555b9CC21e59,CHEESE,18
0xfa436399d0458dbe8ab890c3441256e3e09022a8,ZIP,18
0x18172F6604136041F603270790A437342B9ba57F,Kratos,18
0x2E3D870790dC77A83DD1d18184Acc7439A53f475,FRAX,18
0xbA6a2Fa321BB06D668c5192Be77428106c5C01E5,SOLUNAVAX,18
0xcfD1D50ce23C46D3Cf6407487B2F8934e96DC8f9,SPANK,18
0x3390108E913824B8eaD638444cc52B9aBdF63798,MASK,18
0x217D47011b23BB961eB6D93cA9945B7501a5BB11,THALES,18
0x34dccfd0083259cdbc80bab5dd53234c7af2b841,sKratos,9
0xb54fa166d4b88B0478f299D5854aD9B94b3fefF3,ArbiNYAN,18
0x78b1Bd624791eB8AFf5F0724Ac2c3539142108BF,ZINU,18
0xAF9fE3B5cCDAe78188B1F8b9a49Da7ae9510F151,DHT,18
0xBA28feb4b6A6b81e3F26F08b83a19E715C4294fd,UST,6
0xFB21B70922B9f6e3C6274BcD6CB1aa8A0fe20B80,UST,6
0x6789D8a7a7871923Fc6430432A602879eCB6520a,vKWENTA,18
0xA279959F0a357C2C8D961056bdb74a952D44EF67,slPega,18
0x8b2F7Ae8cA8EE8428B6D76dE88326bB413db2766,sSOL,18
0x45c55BF488D3Cb8640f12F63CbeDC027E8261E79,SDS,18
0x333b1eA429a88d0dd48cE7C06C16609CD76F43A8,vSAND,18
0x2F198182eC54469195a4A06262a9431A42462373,vLINK,18
0x77d0cc9568605bFfF32F918C8FFaa53F72901416,vONE,18
0x5f714B5347f0b5de9F9598E39840E176CE889b9c,vATOM,18
0x5FAa136Fc58B6136fFDAeAAC320076C4865c070F,vAVAX,18
0x151Bb01c79F4516c233948D69daE39869BCcB737,vSOL,18
0xB24F50Dd9918934AB2228bE7A097411ca28F6C14,vLUNA,18
0x18607aDc70d68E196D12019d49b0607b99312853,PEGA,9
0x67ccea5bb16181e7b4109c9c2143c24a1c2205be,FXS,18
0x76FB31fb4af56892A25e32cFC43De717950c9278,AAVE,18
0x7161C3416E08AbAa5cd38E68D9A28E43a694e037,vCRV,18
0x3Fb3282e3BA34A0Bff94845f1800Eb93CC6850d4,vNEAR,18
0x2dB8d2DB86cA3a4C7040E778244451776570359B,vFTM,18
0x0b5740c6b4a97f90eF2F0220651Cca420B868FfB,gOHM,18
0x10010078a54396F62c96dF8532dc2B4847d47ED3,HND,18
0x1F8e8472e124F58b7F0D2598EaE3F4f482780b09,veHND,18
0x7EAdA83e15AcD08d22ad85A1dCE92E5A257Acb92,vFLOW,18
0xb6599Bd362120Dc70D48409B8a08888807050700,vBNB,18
0xB2b42B231C68cbb0b4bF2FFEbf57782Fd97D3dA4,sAVAX,18
0x81DDfAc111913d3d5218DEA999216323B7CD6356,sMATIC,18
0x00B8D5a5e1Ac97Cb4341c4Bc4367443c8776e8d9,sAAVE,18
0xf5a6115Aa582Fd1BEEa22BC93B7dC7a785F60d03,sUNI,18
0xFBc4198702E81aE77c06D58f81b629BDf36f0a71,sEUR,18
0x6b5a75f38BeA1Ef59Bc43A5d9602e77Bcbe65e46,TCAP,18
0x296F55F8Fb28E498B858d0BcDA06D955B2Cb3f97,STG,18
0xE4F27b04cC7729901876B44f4EAA5102EC150265,XCHF,18
0x8A466B97C6ac3379ccc3B2776D310fd4769F550e,STREETCRED,18
0x522439fb1da6db24f18baab1782486b55fe3a7b6,AVAX1X,18
0x95FFfb13856D2BE739a862f9b645573e5C838bdD,SOL1X,18
0x19F0622903A977A24bB47521732E6291002a4edE,LUNA1X,18
0x514832A97F0b440567055A73fe03AA160017b990,SOCKS,18
0x9482aafdced6b899626f465e1fa0cf1b1418d797,vPERP,18
0xBe5de48197fc974600929196239E264EcB703eE8,vMATIC,18
0x34235C8489b06482A99bb7fcaB6d7c467b92d248,vAAVE,18
0x9d34F1D15C22e4C0924804e2a38cBe93DFB84bc2,vAPE,18
0xdFA46478F9e5EA86d57387849598dbFB2e964b02,MAI,18
0x3F56e0c36d275367b8C502090EDF38289b3dEa0d,QI,18
0x4200000000000000000000000000000000000042,OP,18
0xeEeEEb57642040bE42185f49C52F7E9B38f8eeeE,ELK,18
0x56613F4B8F6F3aAb660DaE2f80649F9F8ef381b2,CLC,0
0x2DAbA57dD495212475B438dC41C7DA82ecebf155,CLC,18
0x0Be27c140f9Bdad3474bEaFf0A413EC7e19e9B93,MNYe,18
0x67C10C397dD0Ba417329543c1a40eb48AAa7cd00,nUSD,18
0x4ac8bD1bDaE47beeF2D1c6Aa62229509b962Aa0d,ETHx,18
0x83eD2eE1e2744D27Ffd949314f4098f13535292F,LOOC,0
0x0994206dfE8De6Ec6920FF4D779B0d950605Fb53,CRV,18
0x703D57164CA270b0B330A87FD159CfEF1490c0a5,WAD,18
0x3c8B650257cFb5f272f799F5e2b4e65093a11a05,VELO,18
0xFE8B128bA8C78aabC59d4c64cEE7fF28e9379921,BAL,18
0x97513e975a7fA9072c72C92d8000B0dB90b163c5,BEETS,18
0xCB8FA9a76b8e203D8C3797bF438d8FB81Ea3326A,alUSD,18
0x3e29d3a9316dab217754d13b28646b76607c5f04,alETH,18
0x8aE125E8653821E851F12A49F7765db9a9ce7384,DOLA,18
0x1EBA7a6a72c894026Cd654AC5CDCF83A46445B08,GTC,18
0x6bEa356B8a7004F625F803B3db4D8d258C113c84,dcBETH,18
0x81aB7E0D570b01411fcC4afd3D50eC8C241cb74b,EQZ,18
0x117cFd9060525452db4A34d51c0b3b7599087f05,GYSR,18
0xFEaA9194F9F8c1B65429E31341a103071464907E,LRC,18
0xa3A538EA5D5838dC32dde15946ccD74bDd5652fF,sINR,18
0xEe9801669C6138E84bD50dEB500827b776777d28,O3,18
0xb12c13e66AdE1F72f71834f2FC5082Db8C091358,ROOBEE,18
0xC22885e06cd8507c5c74a948C59af853AEd1Ea5C,USDD,18
0x965f84D915a9eFa2dD81b653e3AE736555d945f4,anyWETH,18
0xf390830DF829cf22c53c8840554B98eafC5dCBc2,anyUSDC,6
