pool_address,pool_name,pool_type,token0_symbol,token1_symbol,token0_address,token1_address,token0_decimals,token1_decimals
0xec24eb97cec2f0f6a2d61254990b0f163bbbfe1d,sAMM-sUSD/DAI,stable,sUSD,DAI,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18,18
0x5edac6b8ea08d535c01981d75b3361481c0ee999,sAMM-USDC/USX,stable,USDC,USX,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xbfd291da8a403daaf7e5e9dc1ec0aceacd4848b9,6,18
0xFd7FddFc0A729eCF45fB6B12fA3B71A575E1966F,sAMM-WETH/sETH,stable,WETH,sETH,0x4200000000000000000000000000000000000006,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,18,18
0x6580c6ee0bb96651be0aa8db382b48ea7acd077d,vAMM-VELO/SNX,volatile,VELO,SNX,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,18,18
0x58f98be02c4ffb675af8857013a9c0dfa5750d04,vAMM-WETH/sUSD,volatile,WETH,sUSD,0x4200000000000000000000000000000000000006,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18,18
0x79c912FEF520be002c2B6e57EC4324e260f38E50,vAMM-WETH/USDC,volatile,WETH,USDC,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0xe8633ce5d216ebfdddf6875067dfb8397dedcaf3,vAMM-OP/USDC,volatile,OP,USDC,0x4200000000000000000000000000000000000042,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0xe08d427724d8a2673fe0be3a81b7db17be835b36,sAMM-USDC/USDT,stable,USDC,USDT,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,6,6
0x335bd4ffa921160fc86ce3843f80a9941e7456c6,sAMM-VELO/USDC,stable,VELO,USDC,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0x587233ce63d7c1e081ce9d94d9940544758f6d01,sAMM-FRAX/USDC,stable,FRAX,USDC,0x2e3d870790dc77a83dd1d18184acc7439a53f475,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0xc2058aa3b3f96075cc33946bcd1963bfa660315b,sAMM-sUSD/DAI,stable,sUSD,DAI,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18,18
0x557949dde71e88cc2f41d33d341ff42417a35a2d,vAMM-VELO/OP,volatile,VELO,OP,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x4200000000000000000000000000000000000042,18,18
0x8e6bf020d11e641511bd8b24ee0fab2034e224e5,vAMM-THALES/USDC,volatile,THALES,USDC,0x217d47011b23bb961eb6d93ca9945b7501a5bb11,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0xbe61c199d356d205b3beba3634a7992af5e28631,sAMM-USDC/LUSD,stable,USDC,LUSD,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xc40F949F8a4e094D1b49a23ea9241D289B7b2819,6,18
0x48e18e3d1efa7f0e15f1b2bf01b232534c30a3ef,vAMM-WETH/USDC,volatile,WETH,USDC,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0x93fc04cd6d108588ecd844c7d60f46635037b5a3,sAMM-USDC/sUSD,stable,USDC,sUSD,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,6,18
0xE1224c055c057cb71E41DaC936BA946f6F500eD1,vAMM-OP/USDT,volatile,OP,USDT,0x4200000000000000000000000000000000000042,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,18,6
0xd04f675127d37bf7b009453116c17b7ef088cceb,vAMM-VELO/DAI,volatile,VELO,DAI,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18,18
0x534f3135757db41c4f705b0eac697659f68c4014,vAMM-WETH/DAI,volatile,WETH,DAI,0x4200000000000000000000000000000000000006,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18,18
0x278631efe7e7b4c2ec49927b255c2ca42be2c1b1,vAMM-WETH/OP,volatile,WETH,OP,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000042,18,18
0x3e2882ef90fafab1894bec08f57745a0dd63950a,vAMM-VELO/alUSD,volatile,VELO,alUSD,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0xcb8fa9a76b8e203d8c3797bf438d8fb81ea3326a,18,18
0x265013a5915cebb9344c9e259d531e55855da45d,sAMM-LYRA/sUSD,stable,LYRA,sUSD,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18,18
0xd52b3eac7ef128b879db10ffbd94e29fe65a34d8,vAMM-alETH/WETH,volatile,alETH,WETH,0x3E29D3A9316dAB217754d13b28646B76607c5f04,0x4200000000000000000000000000000000000006,18,18
0xcfcf4bb472aa2ad6c82ebef2377a20829b6356ad,sAMM-VELO/WETH,stable,VELO,WETH,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x4200000000000000000000000000000000000006,18,18
0x34bb604e97604533ab9e42a756c3790910caac87,vAMM-WETH/LYRA,volatile,WETH,LYRA,0x4200000000000000000000000000000000000006,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,18,18
0x61eba8151880ea81743795faf3e4042b38e8638c,vAMM-sUSD/sETH,volatile,sUSD,sETH,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,18,18
0x49b5c691685aaeeaaaff57ab6ccef081a165f5bb,vAMM-alETH/OP,volatile,alETH,OP,0x3E29D3A9316dAB217754d13b28646B76607c5f04,0x4200000000000000000000000000000000000042,18,18
0xb840adae1a31b52778188b9e948fc79a4bc99d44,sAMM-SNX/sUSD,stable,SNX,sUSD,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,18,18
0x078f65c0e854ab7fa3baa2cff62a4f9cb4031382,vAMM-USDC/DAI,volatile,USDC,DAI,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,6,18
0x78fa29412998acedd7728b4cf5623ee5e2f8f589,vAMM-OP/alUSD,volatile,OP,alUSD,0x4200000000000000000000000000000000000042,0xcb8fa9a76b8e203d8c3797bf438d8fb81ea3326a,18,18
